Protein accession number	Protein Name	location		
YLR315W	"NKP2  Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)"	cytoplasm		
YLR195C	"NMT1 (CDC72) N-myristoyl transferase, catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction"	cytoplasm		
YDR001C	"NTH1  Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p"	cytoplasm		
YBR129C	"OPY1  Protein of unknown function, overproduction blocks cell cycle arrest in the presence of mating pheromone"	cytoplasm		
YHR073W	"OSH3  Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability"	cytoplasm		
YDR071C	"PAA1  Polyamine acetyltransferase; acetylates polyamines such as putrescine, spermidine and spermine; may be involved in transcription and/or DNA replication via regulation of levels of polyamines bound to chromosomal DNA"	cytoplasm		
YGR078C	"PAC10 (RKS2,PFD3,GIM2) Part of the heteromeric co-chaperone GimC/prefoldin complex, which promotes efficient protein folding"	cytoplasm		
YGL094C	"PAN2  Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes"	cytoplasm		
YKL025C	"PAN3 (ECM35) Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes"	cytoplasm		
YHR063C	"PAN5  2-dehydropantoate 2-reductase, part of the pantothenic acid pathway, structurally homologous to E. coli panE"	cytoplasm		
YLR151C	"PCD1  Peroxisomal nudix pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids"	cytoplasm		
YBR222C	"PCS60 (FAT2) Peroxisomal AMP-binding protein, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid, similar to E. coli long chain acyl-CoA synthetase"	cytoplasm		
YER178W	"PDA1  E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA, regulated by glucose"	cytoplasm		
YBR221C	"PDB1  E1 beta subunit of the pyruvate dehydrogenase (PDH) complex, which is an evolutionarily-conserved multi-protein complex found in mitochondria"	cytoplasm		
YPL154C	"PEP4 (yscA,PRA1,PHO9) Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; synthesized as a zymogen, self-activates"	cytoplasm		
YMR231W	"PEP5 (VPT11,VPS11,VPL9,VAM1,END1) Peripheral vacuolar membrane protein required for protein trafficking and vacuole biogenesis; forms complex with Pep3p that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, also interacts with Pep7p"	cytoplasm		
YKR046C	PET10  Protein of unknown function that co-purifies with lipid particles; expression pattern suggests a role in respiratory growth; computational analysis of large-scale protein-protein interaction data suggests a role in ATP/ADP exchange	cytoplasm		
YMR026C	"PEX12 (PAS11) RING-finger peroxisomal membrane peroxin that plays an essential role in peroxisome biogenesis and peroxisomal matrix protein import, forms translocation subcomplex with Pex2p and Pex10p"	cytoplasm		
YGR240C	"PFK1  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"	cytoplasm		
YMR205C	"PFK2  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"	cytoplasm		
YBR196C	"PGI1 (CDC30) Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation"	cytoplasm		
YCR012W	"PGK1  3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis"	cytoplasm		
YBR106W	"PHO88  Probable membrane protein, involved in phosphate transport; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations"	cytoplasm		
YBL051C	"PIN4 (MDT1) Protein involved in G2/M phase progression and response to DNA damage, interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage"	cytoplasm		
YEL060C	"PRB1 (yscB,CVT1) Vacuolar proteinase B (yscB), a serine protease of the subtilisin family; involved in protein degradation in the vacuole and required for full protein degradation during sporulation"	cytoplasm		
YOR362C	PRE10  20S proteasome alpha-type subunit	cytoplasm		
YJL001W	"PRE3 (CRL21) 20S proteasome beta-type subunit, responsible for cleavage after acidic residues in peptides"	cytoplasm		
YFR050C	PRE4  20S proteasome beta-type subunit	cytoplasm		
YMR314W	PRE5  20S proteasome alpha-type subunit	cytoplasm		
YOL038W	PRE6  20S proteasome alpha-type subunit	cytoplasm		
YML092C	PRE8  20S proteasome beta-type subunit	cytoplasm		
YGR135W	PRE9  20S proteasome beta-type subunit; the only nonessential 20S subunit	cytoplasm		
YIL095W	PRK1 (PAK1) Protein serine/threonine kinase; regulates the organization and function of the actin cytoskeleton through the phosphorylation of the Pan1p-Sla1p-End3p protein complex	cytoplasm		
YDR300C	"PRO1  Gamma-glutamyl kinase, catalyzes the first step in proline biosynthesis"	cytoplasm		
YER023W	"PRO3 (ORE2) Delta 1-pyrroline-5-carboxylate reductase, catalyzes the last step in proline biosynthesis"	cytoplasm		
YOR361C	"PRT1 (DNA26,CDC63) Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes"	cytoplasm		
YBL064C	"PRX1 (mTPx) Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; induced during respiratory growth and under conditions of oxidative stress"	cytoplasm		
YDL055C	"PSA1 (SRB1,VIG9,MPG1) GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure"	cytoplasm		
YML017W	PSP2 (MRS15) Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a conditional mutation in POL1 (DNA polymerase alpha); possible role in mitochondrial mRNA splicing	cytoplasm		
YDR032C	PST2  Protein of unknown function with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; GFP-fusion protein localizes to the cytoplasm in a punctate pattern	cytoplasm		
YBR125C	PTC4 (GCT1) Cytoplasmic type 2C protein phosphatase; identified as a high-copy number suppressor of the synthetic lethality of a cnb1 mpk1 double deletion; overexpression decreases high-osmolarity induced Hog1p phosphorylation and kinase activity	cytoplasm		
YHR076W	PTC7  Mitochondrially localized type 2C protein phosphatase; expression induced by growth on ethanol and by sustained osmotic stress; possible role in carbon source utilization in low oxygen environments	cytoplasm		
YDL230W	"PTP1  Phosphotyrosine-specific protein phosphatase that dephosphorylates a broad range of substrates in vivo, including Fpr3p; localized to the cytoplasm and the mitochondria"	cytoplasm		
YOR157C	PUP1  Endopeptidase with trypsin-like activity that cleaves after basic residues; beta-type subunit of 20S proteasome synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z	cytoplasm		
YGR253C	PUP2 (DOA5) Alpha subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit zeta	cytoplasm		
YHR037W	"PUT2  Delta-1-pyrroline-5-carboxylate dehydrogenase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; deficiency of the human homolog causes HPII, an autosomal recessive inborn error of metabolism"	cytoplasm		
YGL062W	"PYC1  Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc2p but differentially regulated; mutations in the human homolog are associated with lactic acidosis"	cytoplasm		
YBR218C	"PYC2  Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc1p but differentially regulated; mutations in the human homolog are associated with lactic acidosis"	cytoplasm		
YAL036C	RBG1 (FUN11) Member of the DRG family of GTP-binding proteins; interacts with translating ribosomes	cytoplasm		
YGR173W	RBG2 (GIR1) Protein with similarity to mammalian developmentally regulated GTP-binding protein	cytoplasm		
YOR265W	"RBL2  Protein involved in microtubule morphogenesis, required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin"	cytoplasm		
YBR260C	"RGD1  GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization"	cytoplasm		
YCR028C-A	RIM1  Single-stranded DNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replication	cytoplasm		
YMR139W	"RIM11 (MDS1,GSK3) Protein kinase required for signal transduction during entry into meiosis; promotes the formation of the Ime1p-Ume6p complex by phosphorylating Ime1p and Ume6p; shares similarity with mammalian glycogen synthase kinase 3-beta"	cytoplasm		
YDR255C	"RMD5 (GID2) Cytosolic protein required for sporulation; also required for the ubiquitination of the gluconeogenetic enzyme fructose-1,6-bisphosphatase, which is degraded rapidly after the switch from gluconeogenesis to glycolysis"	cytoplasm		
YFR052W	"RPN12 (NIN1) Subunit of the 19S regulatory particle of the 26S proteasome lid; synthetically lethal with RPT1, which is an ATPase component of the 19S regulatory particle; physically interacts with Nob1p and Rpn3p"	cytoplasm		
YLR421C	RPN13  Subunit of the 19S regulatory particle of the 26S proteasome lid	cytoplasm		
YDL147W	"RPN5 (NAS5) Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p"	cytoplasm		
YDL097C	"RPN6 (NAS4) Essential, non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion"	cytoplasm		
YOR261C	"RPN8  Essential, non-ATPase regulatory subunit of the 26S proteasome; has similarity to the human p40 proteasomal subunit and to another S. cerevisiae regulatory subunit, Rpn11p"	cytoplasm		
YDR427W	"RPN9  Non-ATPase regulatory subunit of the 26S proteasome, has similarity to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects"	cytoplasm		
YCR009C	"RVS161 (SPE161,FUS7,END6) Amphiphysin-like lipid raft protein; subunit of a complex (Rvs161p-Rvs167p) that regulates polarization of the actin cytoskeleton, endocytosis, cell polarity, cell fusion and viability following starvation or osmotic stress"	cytoplasm		
YDR388W	"RVS167  Actin-associated protein, subunit of a complex (Rvs161p-Rvs167p) involved in regulation of actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; homolog of mammalian amphiphysin"	cytoplasm		
YDR129C	"SAC6 (ABP67) Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin cytoskeleton"	cytoplasm		
YER043C	"SAH1  S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor"	cytoplasm		
YPR129W	"SCD6 (LSM13) Protein containing an Lsm domain, may bind RNA and have a role in RNA processing; overproduction suppresses a null mutation in CHC1, which encodes the heavy chain of clathrin"	cytoplasm		
YFL045C	"SEC53 (ALG4) Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"	cytoplasm		
YML105C	"SEC65  Subunit of the signal recognition particle (SRP), involved in protein targeting to the ER; interacts with Srp54p; homolog of mammalian SRP19"	cytoplasm		
YOR165W	"SEY1  Protein of unknown function, contains two predicted GTP-binding motifs GXXXXGKS and DXXG near the N-terminus, homolog of the Arabidopsis gene RHD3 (Root Hair Defective)"	cytoplasm		
YIR001C	"SGN1 (RBP29,RBP1) Cytoplasmic RNA-binding protein, contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation"	cytoplasm		
YOR007C	"SGT2  Glutamine-rich cytoplasmic protein of unknown function, contains tetratricopeptide (TPR) repeats, which often mediate protein-protein interactions; conserved in human and C. elegans"	cytoplasm		
YBR263W	"SHM1 (TMP3,SHMT1) Mitochondrial serine hydroxymethyltransferase, involved in one-carbon metabolism"	cytoplasm		
YLR058C	"SHM2 (SHMT2) Cytosolic serine hydroxymethyltransferase, involved in one-carbon metabolism"	cytoplasm		
YDL225W	"SHS1 (SEP7) One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal morphogenesis and cytokinesis"	cytoplasm		
YPR189W	SKI3 (SKI5) Protein involved in exosome mediated 3' to 5' mRNA degradation and translation inhibition of non-poly(A) mRNAs; forms complex with Ski2p and Ski8p; required for repressing propagation of dsRNA viruses	cytoplasm		
YDL052C	"SLC1  1-acyl-sn-gylcerol-3-phosphate acyltransferase, catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; located in lipid particles and endoplasmic reticulum"	cytoplasm		
YDR515W	SLF1 (SRO99) RNA binding protein that associates with polysomes; proposed to be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts	cytoplasm		
YLR025W	"SNF7 (VPS32,DID1) One of four subunits of the endosomal sorting complex required for transport III (ESCRT-III); involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway; recruited from the cytoplasm to endosomal membran"	cytoplasm		
YOR357C	SNX3 (GRD19) Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p	cytoplasm		
YHR008C	SOD2  Manganese-containing superoxide dismutase; protects cells against oxygen toxicity	cytoplasm		
YDR356W	"SPC110 (NUF1,XCM1) Inner plaque spindle pole body (SPB) component, ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"	cytoplasm		
YKL042W	"SPC42  Central plaque component of spindle pole body (SPB); involved in SPB duplication, may facilitate attachment of the SPB to the nuclear membrane"	cytoplasm		
YAL047C	"SPC72 (LDB4) Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization"	cytoplasm		
YHR172W	SPC97  Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque	cytoplasm		
YNL126W	SPC98  Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque	cytoplasm		
YLR119W	"SRN2 (VPS37,SRN10) Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; suppressor of rna1-1 mutation; may be involved in RNA export from nucleus"	cytoplasm		
YDL092W	"SRP14  Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14"	cytoplasm		
YPR088C	"SRP54 (SRH1) Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts with the SRP RNA, and mediates binding of SRP to signal receptor; contains GTPase domain"	cytoplasm		
YPL243W	SRP68  Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	cytoplasm		
YPL210C	SRP72  Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	cytoplasm		
YLL024C	"SSA2 (YG102) ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall"	cytoplasm		
YNL209W	"SSB2 (YG103) Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; homolog of SSB1"	cytoplasm		
YDR293C	"SSD1 (SRK1,RLT1,MCS1,CLA1) Protein with a role in maintenance of cellular integrity, interacts with components of the TOR pathway; ssd1 mutant of a clinical S. cerevisiae strain displays elevated virulence"	cytoplasm		
YPL106C	"SSE1 (MSI3,LPG3) ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm"	cytoplasm		
YBR169C	SSE2  Member of the heat shock protein 70 (HSP70) family; may be involved in protein folding; localized to the cytoplasm; highly homologous to the heat shock protein Sse1p	cytoplasm		
YLR250W	SSP120  Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	cytoplasm		
YHR064C	SSZ1 (PDR13) Hsp70 protein that interacts with Zuo1p (a DnaJ homolog) to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP	cytoplasm		
YOR027W	"STI1  Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones; activates the ATPase activity of Ssa1p; homolog of mammalian Hop protein"	cytoplasm		
YBL034C	STU1  Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles	cytoplasm		
YNL244C	"SUI1 (eIF1,eIF-1,RFR1,MOF2) Translation initiation factor eIF1; component of a complex involved in recognition of the initiator codon; modulates translation accuracy at the initiation phase"	cytoplasm		
YDR172W	"SUP35 (eRF3,[PSI(+)],[PSI],SUP36,SUP2,SUF12,SAL3,PNM2,GST1) Translation termination factor eRF3; altered protein conformation creates the [PSI(+)] prion, a dominant cytoplasmically inherited protein aggregate that alters translational fidelity and creates a nonsense suppressor phenotype"	cytoplasm		
YBR143C	"SUP45 (eRF1,SUP47,SUP1,SAL4) Polypeptide release factor involved in translation termination; mutant form acts as a recessive omnipotent suppressor"	cytoplasm		
YLR354C	"TAL1  Transaldolase, enzyme in the non-oxidative pentose phosphate pathway; converts sedoheptulose 7-phosphate and glyceraldehyde 3-phosphate to erythrose 4-phosphate and fructose 6-phosphate"	cytoplasm		
YDR212W	"TCP1 (CCT1) Alpha subunit of chaperonin-containing T-complex, which mediates protein folding in the cytosol; involved in maintenance of actin cytoskeleton; homolog to Drosophila melanogaster and mouse tailless complex polypeptide"	cytoplasm		
YJL052W	"TDH1 (GLD3) Glyceraldehyde-3-phosphate dehydrogenase, isozyme 1, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall"	cytoplasm		
YJR009C	"TDH2 (GLD2) Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall"	cytoplasm		
YGR192C	"TDH3 (SSS2,HSP36,HSP35,GLD1) Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall"	cytoplasm		
YJR019C	TES1 (PTE1) Peroxisomal acyl-CoA thioesterase likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids	cytoplasm		
YDL185W	"TFP1 (VMA1,CLS8) Vacuolar ATPase V1 domain subunit A containing the catalytic nucleotide binding sites; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease"	cytoplasm		
YMR146C	"TIF34  Subunit of the core complex of translation initiation factor 3(eIF3), which is essential for translation"	cytoplasm		
YDR429C	"TIF35  Subunit of the core complex of translation initiation factor 3(eIF3), which is essential for translation"	cytoplasm		
YPR074C	"TKL1  Transketolase, similar to Tkl2p; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids"	cytoplasm		
YBR162C	"TOS1  Covalently-bound cell wall protein of unknown function; identified as a cell cycle regulated SBF target gene; deletion mutants are highly resistant to treatment with beta-1,3-glucanase; has sequence similarity to YJL171C"	cytoplasm		
YGL179C	"TOS3  Protein kinase, related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome"	cytoplasm		
YDR050C	"TPI1  Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region"	cytoplasm		
YBR126C	"TPS1 (TSS1,GLC6,GGS1,FDP1,CIF1,BYP1) Synthase subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway"	cytoplasm		
YDR074W	"TPS2 (PFK3,HOG2) Phosphatase subunit of the trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway"	cytoplasm		
YMR261C	"TPS3  Regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway"	cytoplasm		
YER090W	"TRP2  Anthranilate synthase, catalyzes the initial step of tryptophan biosynthesis, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp3p"	cytoplasm		
YDR353W	"TRR1  Cytoplasmic thioredoxin reductase, key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress"	cytoplasm		
YGR209C	"TRX2 (LMA1) Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against both oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance"	cytoplasm		
YCR083W	"TRX3  Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p"	cytoplasm		
YML028W	"TSA1 (cTPxI,TPX1,ZRG14) Ubiquitous housekeeping thioredoxin peroxidase, reduces reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; mediates redox regulation of the nuclear localization of Yap1p; deletion results in mutator phenotype"	cytoplasm		
YML100W	"TSL1  Large subunit of trehalose 6-phosphate synthase (Tps1p)/phosphatase (Tps2p) complex, which converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose, homologous to Tps3p and may share function"	cytoplasm		
YLR212C	"TUB4  Gamma-tubulin, involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body"	cytoplasm		
YOR187W	"TUF1  Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans"	cytoplasm		
YMR304W	UBP15  Ubiquitin-specific protease that may play a role in ubiquitin precursor processing	cytoplasm		
YOR124C	"UBP2  Ubiquitin-specific protease that removes ubiquitin from ubiquitinated proteins, cleaves at the C terminus of ubiquitin fusions; capable of cleaving polyubiquitin and possesses isopeptidase activity"	cytoplasm		
YER151C	UBP3  Ubiquitin-specific protease that interacts with Bre5p to co-regulate anterograde and retrograde transport between endoplasmic reticulum and Golgi compartments; inhibitor of gene silencing; cleaves ubiquitin fusions but not polyubiquitin	cytoplasm		
YKL010C	"UFD4  Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins"	cytoplasm		
YBR006W	UGA2 (UGA5) Succinate semialdehyde dehydrogenase involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm	cytoplasm		
YKL035W	"UGP1  UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p"	cytoplasm		
YJL130C	"URA2  Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP"	cytoplasm		
YBL039C	"URA7  Major CTP synthase isozyme (see also URA8), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis"	cytoplasm		
YJR103W	"URA8  Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis"	cytoplasm		
YNL229C	URE2 ([URE3]) Nitrogen catabolite repression regulator that acts by inhibition of GLN3 transcription in good nitrogen source; altered form of Ure2p creates [URE3] prion	cytoplasm		
YGL212W	VAM7 (VPS43) Component of the vacuole SNARE complex involved in vacuolar morphogenesis; SNAP-25 homolog; functions with a syntaxin homolog Vam3p in vacuolar protein trafficking	cytoplasm		
YGR094W	VAS1  Mitochondrial and cytoplasmic valyl-tRNA synthetase	cytoplasm		
YBR105C	"VID24 (GID4) Peripheral membrane protein located at Vid (vacuole import and degradation) vesicles; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; involved in proteasome-dependent catabolite degradation of FBPase"	cytoplasm		
YLR410W	VIP1  Protein of unknown function probably involved in the function of the cortical actin cytoskeleton; putative ortholog of S. pombe asp1+	cytoplasm		
YHR039C-A	"VMA10 (YHR039BC,YHR039C-B) Vacuolar H+ ATPase subunit G of the catalytic (V1) sector, involved in vacuolar acidification"	cytoplasm		
YBR127C	"VMA2 (ATPSV,VAT2) Subunit B of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm"	cytoplasm		
YOR332W	"VMA4  Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"	cytoplasm		
YKL080W	"VMA5 (VAT3,CSL5) Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"	cytoplasm		
YLR447C	"VMA6  Subunit D of the five-subunit V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found in the endomembrane system; stabilizes VO subunits; required for V1 domain assembly on the vacuolar membrane"	cytoplasm		
